timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530123887951,505,HTTP Request,200,OK,Thread Group 1-29,text,true,,140,208,53,53,505,0,0
1530123888150,306,HTTP Request,200,OK,Thread Group 1-1,text,true,,140,208,53,53,306,0,0
1530123887913,543,HTTP Request,200,OK,Thread Group 1-14,text,true,,140,208,53,53,543,0,0
1530123888125,331,HTTP Request,200,OK,Thread Group 1-38,text,true,,140,208,53,53,331,0,0
1530123887913,544,HTTP Request,200,OK,Thread Group 1-4,text,true,,140,208,53,53,543,0,0
1530123888162,296,HTTP Request,200,OK,Thread Group 1-35,text,true,,140,208,53,53,296,0,0
1530123888172,287,HTTP Request,200,OK,Thread Group 1-18,text,true,,140,208,53,53,287,0,0
1530123888199,260,HTTP Request,200,OK,Thread Group 1-24,text,true,,140,208,53,53,260,0,0
1530123888209,250,HTTP Request,200,OK,Thread Group 1-7,text,true,,140,208,53,53,250,0,0
1530123888156,303,HTTP Request,200,OK,Thread Group 1-32,text,true,,140,208,53,53,303,0,0
1530123887951,509,HTTP Request,200,OK,Thread Group 1-43,text,true,,140,208,53,53,509,0,0
1530123888123,338,HTTP Request,200,OK,Thread Group 1-12,text,true,,140,208,53,53,338,0,18
1530123888162,299,HTTP Request,200,OK,Thread Group 1-40,text,true,,140,208,53,53,299,0,0
1530123888148,314,HTTP Request,200,OK,Thread Group 1-39,text,true,,140,208,53,53,314,0,0
1530123888201,261,HTTP Request,200,OK,Thread Group 1-45,text,true,,140,208,53,53,261,0,0
1530123887881,582,HTTP Request,200,OK,Thread Group 1-16,text,true,,140,208,53,53,582,0,38
1530123888207,256,HTTP Request,200,OK,Thread Group 1-25,text,true,,140,208,53,53,256,0,0
1530123888219,244,HTTP Request,200,OK,Thread Group 1-36,text,true,,140,208,53,53,244,0,0
1530123888077,387,HTTP Request,200,OK,Thread Group 1-48,text,true,,140,208,53,53,387,0,44
1530123887337,1127,HTTP Request,200,OK,Thread Group 1-11,text,true,,140,208,53,53,1127,0,0
1530123888127,337,HTTP Request,200,OK,Thread Group 1-20,text,true,,140,208,53,53,337,0,20
1530123888152,313,HTTP Request,200,OK,Thread Group 1-49,text,true,,140,208,53,53,313,0,19
1530123888202,263,HTTP Request,200,OK,Thread Group 1-13,text,true,,140,208,53,53,263,0,0
1530123888157,308,HTTP Request,200,OK,Thread Group 1-23,text,true,,140,208,53,53,308,0,0
1530123887569,897,HTTP Request,200,OK,Thread Group 1-5,text,true,,140,208,53,53,897,0,24
1530123888210,256,HTTP Request,200,OK,Thread Group 1-27,text,true,,140,208,53,53,256,0,0
1530123888200,266,HTTP Request,200,OK,Thread Group 1-46,text,true,,140,208,53,53,266,0,0
1530123888155,312,HTTP Request,200,OK,Thread Group 1-6,text,true,,140,208,53,53,312,0,0
1530123888202,265,HTTP Request,200,OK,Thread Group 1-21,text,true,,140,208,53,53,265,0,21
1530123887637,828,HTTP Request,200,OK,Thread Group 1-9,text,true,,140,208,53,53,828,0,27
1530123888301,167,HTTP Request,200,OK,Thread Group 1-17,text,true,,140,208,53,53,167,0,0
1530123888200,373,HTTP Request,200,OK,Thread Group 1-28,text,true,,140,208,54,54,373,0,0
1530123888199,374,HTTP Request,200,OK,Thread Group 1-37,text,true,,140,208,54,54,374,0,0
1530123888466,108,HTTP Request,200,OK,Thread Group 1-5,text,true,,140,208,54,54,108,0,0
1530123888301,273,HTTP Request,200,OK,Thread Group 1-3,text,true,,140,208,54,54,273,0,0
1530123888239,335,HTTP Request,200,OK,Thread Group 1-34,text,true,,140,208,54,54,335,0,0
1530123888301,273,HTTP Request,200,OK,Thread Group 1-8,text,true,,140,208,54,54,273,0,0
1530123888200,374,HTTP Request,200,OK,Thread Group 1-15,text,true,,140,208,54,54,374,0,0
1530123888204,370,HTTP Request,200,OK,Thread Group 1-30,text,true,,140,208,54,54,370,0,0
1530123888301,274,HTTP Request,200,OK,Thread Group 1-33,text,true,,140,208,54,54,274,0,0
1530123888243,332,HTTP Request,200,OK,Thread Group 1-42,text,true,,140,208,54,54,332,0,0
1530123888457,119,HTTP Request,200,OK,Thread Group 1-14,text,true,,140,208,54,54,119,0,0
1530123888463,113,HTTP Request,200,OK,Thread Group 1-16,text,true,,140,208,54,54,113,0,0
1530123888461,120,HTTP Request,200,OK,Thread Group 1-40,text,true,,140,208,54,54,120,0,0
